primary_genres,Frequência
Baroque Music,2
Big Band,2
Adult Contemporary,2
Crossover Thrash,2
Sequencer & Tracker,2
Zolo,2
Beat Music,2
Dub,2
Drumand Bass,2
Acid House,2
Celtic Rock,2
Ambient House,2
Death'n'Roll,2
Grime,2
Synthwave,2
Girl Group,2
Teen Pop,2
Minimal Wave,2
French Pop,2
Yacht Rock,2
Deathrock,2
Celtic New Age,2
Power Electronics,2
UKGarage,2
Depressive Black Metal,2
Musical Parody,2
Vaportrap,2
Jazz,2
Psychobilly,2
Epic Doom Metal,2
Folk Baroque,2
Pub Rock,2
Jam Band,2
Chipmunk Soul,2
Progressive House,2
Chamber Jazz,2
French House,2
Christian Rock,2
Samba,2
Neoclassical New Age,2
Breakcore,2
Christmas Music,2
Musical Comedy,2
Glam Punk,2
British Blues,2
Electric Texas Blues,2
Experimental Big Band,2
2Tone,2
Surf Punk,2
Totalism,2
Afro-Jazz,2
Horror Punk,2
Dubstep,2
Flamenconuevo,2
Christian Hip Hop,2
Funeral Doom Metal,2
Goregrind,2
Freakbeat,2
Dreampunk,2
New Jack Swing,2
Electro House,2
Boogie Rock,1
Neoclassical Metal,1
Utopian Virtual,1
Polyphonic Chant,1
Paisley Underground,1
Jazzstep,1
Tishoumaren,1
Darksynth,1
Emocore,1
Acappella,1
Soncubano,1
New Music,1
Rage,1
Comedy Rap,1
Outsider House,1
Future Funk,1
Black'n'Roll,1
Jazzmanouche,1
Flamenco Pop,1
Chanson,1
New Orleans R&B,1
Ritual Ambient,1
Bolero,1
Soul Jazz,1
Epic Collage,1
Hip House,1
Trance Metal,1
Jungle,1
Trap Metal,1
Celtic Punk,1
Mexican Folk Music,1
Drill,1
Microsound,1
Caribbean Folk Music,1
Ratchet Music,1
Picopop,1
Soundtracks,1
Latin Electronic,1
Symphony,1
Deathcore,1
Blues,1
Samba Soul,1
Euro House,1
Cowboy,1
Indeterminacy,1
Samba-jazz,1
Psychedelia,1
Modern Creative,1
Romanticism,1
Funktronica,1
Ranchera,1
Funky House,1
Progressive Breaks,1
White Voice,1
Futurepop,1
Nyahbinghi,1
Purple Sound,1
Horror Synth,1
Reggaetón,1
Neo-Medieval Folk,1
Latin Alternative,1
Southern Metal,1
Breakbeat Hardcore,1
Spirituals,1
Lounge,1
British Dance Band,1
War Metal,1
Pop Reggae,1
Bulgarian Folk Music,1
European Free Jazz,1
Bitpop,1
Hex D,1
Footwork Jungle,1
Tribal Ambient,1
D-Beat,1
Mandopop,1
Opera,1
Novelty,1
Power Noise,1
Outlaw Country,1
Neue Deutsche Welle,1
Euro-Disco,1
Progressive Country,1
Dance,1
Progressive Big Band,1
Noisecore,1
Doo-Wop,1
Ghazal,1
Space Age Pop,1
Yé-yé,1
Brostep,1
Crust Punk,1
Hi-NRG,1
Mobb Music,1
Balearic Beat,1
EBM,1
Nuevacanciónlatinoamericana,1
,1
