artist_name,Frequência
Faust,4
ScHoolboy Q,4
Public Enemy,4
Limp Bizkit,4
Panda Bear,4
The War on Drugs,4
M.I.A.,4
Ghost,4
Slowdive,4
Deathspell Omega,4
CHVRCHES,4
clipping.,4
TV on the Radio,4
Dinosaur Jr,4
Lil Wayne,4
Pixies,4
Jefferson Airplane,4
Thee Oh Sees,4
Baroness,4
Testament,4
Lupe Fiasco,4
Nicolás Jaar,4
Thom Yorke,4
The Replacements,4
The Dillinger Escape Plan,4
Bob Marley & The WailersBob MarleyThe Wailers,4
Boards of Canada,4
Carly Rae Jepsen,4
The Mountain Goats,4
Cult of Luna,4
The Prodigy,4
Current 93,4
Darkthrone,4
Celtic Frost,4
Grizzly Bear,4
The Allman Brothers Band,4
The Smashing Pumpkins,4
The Shins,4
Emperor,4
MGMT,4
Vampire Weekend,4
Einstürzende Neubauten,4
Merzbow,3
NEU!,3
Uriah Heep,3
The Radio Dept.,3
Summoning,3
Sly & The Family Stone,3
John Maus,3
Def Leppard,3
Fishmans,3
Throbbing Gristle,3
DIIV,3
Phoenix,3
Amon Tobin,3
MIKE,3
Cage the Elephant,3
Nails,3
Ariel Pink's Haunted Graffiti,3
Cat Power,3
Vektor,3
Kurt Vile,3
Hum,3
King Diamond,3
El-P,3
Amon Amarth,3
Paradise Lost,3
Bloc Party,3
Drudkh,3
Anderson .Paak,3
Rihanna,3
King Gizzard and The Lizard Wizard,3
Post Malone,3
The Offspring,3
Kasabian,3
Lingua Ignota,3
Om,3
Ice Cube,3
Entombed,3
Iggy Pop,3
Ed Sheeran,3
Wipers,3
Curtis Mayfield,3
Julien Baker,3
George Harrison,3
My Bloody Valentine,3
Guided by Voices,3
Don Caballero,3
Traffic,3
Wolves in the Throne Room,3
Voivod,3
Dimmu Borgir,3
John Lennon,3
Dean Blunt,3
Broken Social Scene,3
Nujabes,3
Pusha T,3
The Jimi Hendrix Experience,3
Janelle Monáe,3
Smashing Pumpkins,3
Japanese Breakfast,3
21 Savage,3
Riverside,3
Bad Religion,3
A$AP Rocky,3
Dio,3
Fuck Buttons,3
Neon Indian,3
Sunn O))),3
American Football,3
Cluster,3
They Might Be Giants,3
ミドリ [Midori],3
Eno,3
maudlin of the Well,3
Al Green,3
Blood Orange,3
Earth,3
Andy Stott,3
Galaxie 500,3
Paul McCartney,3
Wolf Alice,3
Melt-Banana,3
Sunny Day Real Estate,3
Alex G,3
Bill Callahan,3
Dr. Dre,3
Mercury Rev,3
Justin Timberlake,3
Tortoise,3
Sparklehorse,3
Erykah Badu,3
Prince and The Revolution,3
Angelo Badalamenti,3
Accept,3
Sun Ra,3
Yeah Yeah Yeahs,3
Tears for Fears,3
Pharoah Sanders,3
Love,3
Lorde,3
Mew,3
Thundercat,3
Morphine,3
Immolation,3
Belle & Sebastian,3
Ornette Coleman,3
The Tallest Man on Earth,3
Big K.R.I.T.,3
Floating Points,3
Cream,3
Sparks,3
Angel Olsen,3
Blonde Redhead,3
Mr. Bungle,3
King Gizzard & the Lizard Wizard,3
Atheist,3
Black Flag,3
Ministry,3
Stars of the Lid,3
Jim O'Rourke,3
Joy Division,3
The Chameleons,3
Killing Joke,3
Liars,3
Andrew Jackson Jihad,3
The Cars,3
Klaus Schulze,3
Neil Young with Crazy HorseNeil YoungCrazy Horse,3
Big Star,3
The Antlers,3
Goldfrapp,3
Open Mike Eagle,3
Henry Cow,3
Juice WRLD,3
Wu-Tang Clan,3
Have a Nice Life,3
Boredoms,3
Twenty One Pilots,3
Coheed and Cambria,3
King Krule,3
Mgła,3
Coroner,3
Orchid,3
Elder,3
Sleep,3
Nirvana,3
Lil Uzi Vert,3
The Avalanches,3
Wire,3
Jack White,3
Bat for Lashes,3
Captain Beefheart & His Magic Band,3
Amorphis,3
Songs: Ohia,3
Deerhoof,3
The Magnetic Fields,3
Devo,3
Duster,3
Ghostface Killah,3
Black Dresses,3
Travis Scott,3
Stone Temple Pilots,3
The xx,3
John Frusciante,3
Beat Happening,3
Helloween,3
Supertramp,3
alt-J,3
Jimmy Eat World,3
Simon & Garfunkel,3
Nick Drake,3
Frank Ocean,3
Napalm Death,3
My Dying Bride,3
Mazzy Star,3
Mötley Crüe,3
Sum 41,3
A Perfect Circle,3
Suede,3
Captain Beefheart and The Magic Band,3
Elvis Costello & The Attractions,3
Butthole Surfers,3
Pulp,3
Panopticon,3
Portishead,3
The New Pornographers,3
Sade,3
Audioslave,3
Broadcast,3
Bad Brains,3
The Cranberries,2
Marina and the Diamonds,2
Kylie,2
Nevermore,2
A Place to Bury Strangers,2
Obituary,2
múm,2
Public Image Ltd,2
椎名林檎 [Sheena Ringo],2
Real Estate,2
Doves,2
Death From Above 1979,2
Ty Segall,2
Nickelback,2
Ariel Pink,2
Feist,2
Tuxedomoon,2
David Sylvian,2
Eric B. & Rakim,2
Travis,2
The Durutti Column,2
Charlie Mingus,2
Dua Lipa,2
Todd Rundgren,2
Snow Patrol,2
Satyricon,2
Antônio Carlos Jobim,2
Pig Destroyer,2
Dinosaur Jr.,2
Soccer Mommy,2
Scraping Foetus Off the Wheel,2
Glenn Gould,2
Shame,2
Touché Amoré,2
Echo & The Bunnymen,2
Pelican,2
Anna von Hausswolff,2
吉村弘 [Hiroshi Yoshimura],2
Full of Hell,2
Cryptopsy,2
Mineral,2
Polvo,2
The Damned,2
Pi'erre Bourne,2
Matmos,2
Laurel Halo,2
Mercyful Fate,2
Dissection,2
Stevie Ray Vaughan and Double Trouble,2
Crosby,2
Alice Coltrane,2
Avril Lavigne,2
Françoise Hardy,2
Clarence Clarity,2
Catherine Wheel,2
D'Angelo,2
Don Cherry,2
Against Me!,2
65daysofstatic,2
Bruno Mars,2
The Stooges,2
Machine Head,2
Arcturus,2
Blanck Mass,2
Fontaines D.C.,2
Against All Logic,2
Killswitch Engage,2
Queensrÿche,2
Moby,2
Blood Incantation,2
Popol Vuh,2
Battles,2
Kali Uchis,2
The Gun Club,2
Mobb Deep,2
Venom,2
DaBaby,2
N*E*R*D,2
The Olivia Tremor Control,2
Cypress Hill,2
Primal Scream,2
Purity Ring,2
Slint,2
Suicide,2
Violent Femmes,2
The Black Eyed Peas,2
Flume,2
Smog,2
Thrice,2
Migos,2
Protest the Hero,2
T. Rex,2
The Pains of Being Pure at Heart,2
Okkervil River,2
Supergrass,2
Caravan,2
Jeff Buckley,2
Melody's Echo Chamber,2
Tropical Fuck Storm,2
Standing on the Corner,2
Natural Snow Buildings,2
